User Stories,Task,Dependency,Story Points,day 1,day 2,day 3,day 4,day 5,day 6,day 7
"Note: The number of commited hours joe has increased by 1 because he was busy before, making up for it now",,,,,,,,,,
4,11,,3,Ishan:3,,,,,,
5,12,,3,,Ricky:3,,,,,
5,13,,2,,,Sai:2,,,,
6,14,,2,,,,Joe:2,,,
6,15,,2,,,,,,,Joe:2
